LoanID,PaymentMonth,ScheduledAmount,AmountPaid,PaymentStatus
LN-100000,1,148.65,146.96,On-Time
LN-100000,2,148.65,146.58,On-Time
LN-100000,3,148.65,148.39,On-Time
LN-100000,4,148.65,146.46,On-Time
LN-100000,5,148.65,147.84,Late
LN-100000,6,148.65,147.07,On-Time
LN-100000,7,148.65,146.58,On-Time
LN-100000,8,148.65,0.0,Missed
LN-100000,9,148.65,147.99,On-Time
LN-100000,10,148.65,148.11,On-Time
LN-100000,11,148.65,146.3,On-Time
LN-100000,12,148.65,148.59,On-Time
LN-100001,1,451.45,443.3,On-Time
LN-100001,2,451.45,447.49,On-Time
LN-100001,3,451.45,447.04,On-Time
LN-100001,4,451.45,450.72,On-Time
LN-100001,5,451.45,446.49,On-Time
LN-100001,6,451.45,446.73,On-Time
LN-100001,7,451.45,445.2,On-Time
LN-100001,8,451.45,449.46,On-Time
LN-100001,9,451.45,449.49,On-Time
LN-100001,10,451.45,450.42,On-Time
LN-100001,11,451.45,0.0,Missed
LN-100001,12,451.45,450.14,On-Time
LN-100002,1,414.78,407.89,On-Time
LN-100002,2,414.78,411.41,On-Time
LN-100002,3,414.78,410.85,On-Time
LN-100002,4,414.78,412.34,On-Time
LN-100002,5,414.78,412.73,Late
LN-100002,6,414.78,411.98,On-Time
LN-100002,7,414.78,408.88,On-Time
LN-100002,8,414.78,410.53,On-Time
LN-100002,9,414.78,412.32,On-Time
LN-100002,10,414.78,409.59,Late
LN-100002,11,414.78,413.93,On-Time
LN-100002,12,414.78,412.82,On-Time
LN-100003,1,1114.09,1112.41,On-Time
LN-100003,2,1114.09,0.0,Missed
LN-100003,3,1114.09,1101.81,On-Time
LN-100003,4,1114.09,0.0,Missed
LN-100003,5,1114.09,1096.92,On-Time
LN-100003,6,1114.09,0.0,Missed
LN-100003,7,1114.09,1095.95,On-Time
LN-100003,8,1114.09,1106.45,On-Time
LN-100003,9,1114.09,,Missed
LN-100003,10,1114.09,1102.07,On-Time
LN-100003,11,1114.09,1100.11,ON-TIME
LN-100003,12,1114.09,,Missed
LN-100004,1,514.47,512.11,On-Time
LN-100004,2,514.47,510.85,On-Time
LN-100004,3,514.47,505.78,Late
LN-100004,4,514.47,506.36,On-Time
LN-100004,5,514.47,506.27,On-Time
LN-100004,6,514.47,507.15,On-Time
LN-100004,7,514.47,508.21,On-Time
LN-100004,8,514.47,514.27,On-Time
LN-100004,9,514.47,509.7,On-Time
LN-100004,10,514.47,511.07,On-Time
LN-100004,11,514.47,507.69,On-Time
LN-100004,12,514.47,512.32,On-Time
LN-100005,1,536.46,0.0,Missed
LN-100005,2,536.46,530.41,On-Time
LN-100005,3,536.46,528.3,On-Time
LN-100005,4,536.46,525.82,On-Time
LN-100005,5,536.46,530.03,On-Time
LN-100005,6,536.46,528.98,On-Time
LN-100005,7,536.46,535.04,On-Time
LN-100005,8,536.46,534.48,On-Time
LN-100005,9,536.46,530.9,On-Time
LN-100005,10,536.46,532.82,On-Time
LN-100005,11,536.46,529.18,On-Time
LN-100005,12,536.46,527.01,On-Time
LN-100006,1,565.4,555.03,On-Time
LN-100006,2,565.4,0.0,Missed
LN-100006,3,565.4,562.23,On-Time
LN-100006,4,565.4,,Missed
LN-100006,5,565.4,556.47,On-Time
LN-100006,6,565.4,565.12,On-Time
LN-100006,7,565.4,554.86,Late
LN-100006,8,565.4,556.63,On-Time
LN-100006,9,565.4,555.8,On-Time
LN-100006,10,565.4,555.19,On-Time
LN-100006,11,565.4,563.74,On-Time
LN-100006,12,565.4,555.85,On-Time
LN-100007,1,512.89,512.21,On-Time
LN-100007,2,512.89,512.36,On-Time
LN-100007,3,512.89,507.67,On-Time
LN-100007,4,512.89,512.74,On-Time
LN-100007,5,512.89,510.5,ON-TIME
LN-100007,6,512.89,512.14,On-Time
LN-100007,7,512.89,510.09,On-Time
LN-100007,8,512.89,505.95,On-Time
LN-100007,9,512.89,504.63,On-Time
LN-100007,10,512.89,504.73,On-Time
LN-100007,11,512.89,507.71,On-Time
LN-100007,12,512.89,512.16,On-Time
LN-100008,1,826.87,817.74,Late
LN-100008,2,826.87,821.19,On-Time
LN-100008,3,826.87,819.2,On-Time
LN-100008,4,826.87,817.24,On-Time
LN-100008,5,826.87,810.69,On-Time
LN-100008,6,826.87,817.08,On-Time
LN-100008,7,826.87,822.84,On-Time
LN-100008,8,826.87,819.38,On-Time
LN-100008,9,826.87,817.44,On-Time
LN-100008,10,826.87,814.66,ON-TIME
LN-100008,11,826.87,822.61,On-Time
LN-100008,12,826.87,812.26,On-Time
LN-100009,1,645.28,635.71,On-Time
LN-100009,2,645.28,633.96,On-Time
LN-100009,3,645.28,637.58,On-Time
LN-100009,4,645.28,641.96,On-Time
LN-100009,5,645.28,643.45,On-Time
LN-100009,6,645.28,638.64,On-Time
LN-100009,7,645.28,639.85,On-Time
LN-100009,8,645.28,639.16,ON-TIME
LN-100009,9,645.28,634.89,On-Time
LN-100009,10,645.28,0.0,Missed
LN-100009,11,645.28,636.45,On-Time
LN-100009,12,645.28,642.96,On-Time
LN-100010,1,1145.73,1136.87,On-Time
LN-100010,2,1145.73,1128.49,On-Time
LN-100010,3,1145.73,1127.82,On-Time
LN-100010,4,1145.73,1131.14,on-time
LN-100010,5,1145.73,1144.31,On-Time
